"Plot","ID","Species","Height (m)","% Shrub Area","% Missing","Comments"
21,27,"Dracaena fragrans (Fragrant dracaena)",1.12,12,"20% - 25%",
21,28,"Ficus (Fig spp)",1.00,12,"75% - 80%",
21,29,"Araucaria heterophylla (Norfolk island pine)",1.04,16,"30% - 35%",
21,30,"Euphorbia (Spurge spp)",2.08,12,"45% - 50%",
21,31,"Gardenia jasminoides (Bower of beauty)",1.00,12,"5% - 10%",
21,32,"Euphorbia lactea (Mottled spurge)",1.00,12,"85% - 90%",
22,76,"Bidens (Beggarticks spp)",1.00,100,"25% - 30%",
23,3,"Rosa chinensis (Chinese rose)",1.50,25,"65% - 70%",
23,4,"Euphorbia pulcherrima (Poinsettia)",2.00,25,"80% - 85%",
23,5,"Dracaena (Dracaena spp)",1.30,25,"35% - 40%",
23,6,"Annona muricata (Soursop)",2.00,25,"45% - 50%",
24,9,"Ehretia retusa (Scorpionbush)",1.00,50,"15% - 20%",
24,10,"Chrysalidocarpus (Butterfly Palm spp)",1.46,15,"25% - 30%",
24,11,"Eugenia monticola (Birdcherry)",1.50,35,"55% - 60%",
26,74,"Coccoloba uvifera (Sea grape)",1.50,100,"1% - 5%",
109,33,"Bougainvillea glabra (Paperflower)",2.30,15,"1% - 5%",
109,34,"Azadirachta indica (Neem Tree)",2.00,7,"20% - 25%",
109,35,"Salvia rosmarinus (Rosemary)",1.55,15,"15% - 20%",
109,36,"Dracaena reflexa (Song of India)",1.58,7,"25% - 30%",
109,37,"Codiaeum variegatum (Garden croton)",1.55,7,"10% - 15%",
109,38,"Duranta erecta (Golden dewdrops)",1.94,6,"30% - 35%",
109,39,"Ixora coccinea (Scarlet jungleflame)",1.00,5,"55% - 60%",
109,40,"Allamanda blanchetii (Purple allamanda)",1.00,5,"25% - 30%",
109,41,"Tabernaemontana laeta (Guasuiririba)",1.12,7,"25% - 30%",
109,42,"Hibiscus arnottianus (White rosemallow)",1.94,7,"35% - 40%",
109,43,"Pseuderanthemum (Pseuderanthemum spp)",1.05,7,"15% - 20%",
109,44,"Rosa chinensis (Chinese rose)",1.00,6,"20% - 25%",
109,45,"Psidium guajava (Common guava)",1.90,6,"25% - 30%",
136,1,"Bougainvillea glabra (Paperflower)",1.00,16,"15% - 20%",
136,2,"Allamanda (Allamanda spp)",1.00,84,"15% - 20%",
