"Plot","ID","Survey Date","Status","Distance (m)","Direction","Species","Land Use","DBH 1 (cm)","DBH 1: Height (m)","DBH 1: Measured?","DBH 2 (cm)","DBH 2: Height (m)","DBH 2: Measured?","DBH 3 (cm)","DBH 3: Height (m)","DBH 3: Measured?","DBH 4 (cm)","DBH 4: Height (m)","DBH 4: Measured?","DBH 5 (cm)","DBH 5: Height (m)","DBH 5: Measured?","DBH 6 (cm)","DBH 6: Height (m)","DBH 6: Measured?","Crown: Condition","Total Height (m)","Crown: Top Height (m)","Crown: Base Height (m)","Crown: Width N/S (m)","Crown: Width E/W (m)","Crown: % Missing","% Impervious","% Shrub","Crown: Light Exposure","Building 1: Direction","Building 1: Distance (m)","Building 2: Direction","Building 2: Distance (m)","Building 3: Direction","Building 3: Distance (m)","Building 4: Direction","Building 4: Distance (m)","Street Tree?","Maintenance Recommended","Maintenance Task","Sidewalk Conflict","Utility Conflict","Public?","Latitude","Longitude","Comments"
8,1,10/13/2016,Unknown,10.10,85,"Pink Poui (Tabebuia rosea)",Transportation,16.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.80,5.80,3.50,2.9,2.7,"15% - 20%",100%,0%,"4 Sides",170,7.04,,,,,,,True,None,None,,"Present and no potential conflict",Unchecked,18.28078,69.54091,"Foto 0631"
8,2,10/13/2016,Planted,8.30,70,"Manila (Adonidia merrillii)",Residential,13.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.50,5.50,2.30,3.1,2.8,"15% - 20%","50% - 55%","20% - 25%","4 Sides",270,5.16,,,,,,,False,None,None,,"No lines",Checked,18.4688,69.90257,"Foto 0636"
8,3,10/13/2016,Planted,8.20,90,"Manila (Adonidia merrillii)",Residential,12.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.90,5.90,1.80,3.5,3.1,"15% - 20%","50% - 55%","20% - 25%","4 Sides",270,4.50,,,,,,,False,None,None,,"No lines",Checked,18.4688,69.90257,"Foto 0636"
8,4,10/13/2016,Planted,6.50,105,"Manila (Adonidia merrillii)",Residential,14.5,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.60,5.60,3.30,2.9,2.6,"15% - 20%","50% - 55%","20% - 25%","4 Sides",270,3.27,,,,,,,False,None,None,,"No lines",Checked,18.46879,69.90258,"Foto 0636"
8,5,10/13/2016,Planted,5.30,107,"Manila (Adonidia merrillii)",Residential,13.7,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",6.20,6.20,2.70,2.7,2.6,"15% - 20%","50% - 55%","20% - 25%","4 Sides",275,1.87,,,,,,,False,None,None,,"No lines",Checked,18.46878,69.90259,"Foto 0636"
8,6,10/13/2016,Planted,4.80,111,"Manila (Adonidia merrillii)",Residential,9.6,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.30,5.30,1.50,1.9,1.6,"15% - 20%","50% - 55%","20% - 25%","4 Sides",270,1.20,,,,,,,False,None,None,,"No lines",Checked,18.46879,69.9026,"Foto 0636"
9,1,10/13/2016,Planted,7.20,205,"Indian albizia (Albizia lebbekoides)",Institutional,15.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",8.00,7.80,5.10,9.6,8.6,"15% - 20%","90% - 95%",0%,"4 Sides",19,11.33,,,,,,,False,None,None,,"No lines",Checked,18.47083,-69.90584,"Foto 0641"
10,1,10/13/2016,Planted,9.49,116,"Manilkara spp (Manilkara)",Residential,16.5,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",8.20,8.20,6.20,2.8,4.3,"15% - 20%","40% - 45%","70% - 75%","2 Sides",249,2.80,,,,,,,False,None,None,,"No lines",Checked,18.27509,-69.54242,"Foto 0616"
10,2,10/13/2016,Planted,6.76,84,"Cabbage palmetto (Sabal palmetto)",Residential,51.3,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,9.80,9.80,8.50,8.5,2.9,"1% - 5%","20% - 25%","70% - 75%","4 Sides",244,2.80,,,,,,,False,None,None,,"No lines",Checked,18.27507,-69.5424,"Foto 0617"
10,3,10/13/2016,Planted,12.09,130,"Sea grape (Coccoloba uvifera)",Residential,23.7,1.37,True,15.2,1.37,True,13.9,1.37,True,,,True,,,True,,,True,100%,9.10,9.10,5.40,3.9,3.5,"35% - 40%","50% - 55%","60% - 65%","3 Sides",244,2.30,,,,,,,False,None,None,,"No lines",Checked,18.464,-69.90668,"Foto 0616"
11,1,10/11/2016,Planted,4.50,355,"Manila (Adonidia merrillii)",Transportation,13.0,1.30,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",3.70,3.70,1.20,2.2,1.7,"5% - 10%","25% - 30%","20% - 25%","4 Sides",350,13.60,,,,,,,True,None,None,,,Unchecked,18.47523,-69.90623,0604
11,2,10/11/2016,Planted,5.02,68,"Haitian catalpa (Catalpa longissima)",Institutional,59.0,1.30,True,,,True,,,True,,,True,,,True,,,True,"80% - 85%",13.10,13.10,8.70,7.4,6.7,"15% - 20%","5% - 10%","5% - 10%","5 Sides",352,17.97,,,,,,,False,None,None,,,Unchecked,18.47521,-69.90618,(0605)
11,3,10/11/2016,Planted,7.90,45,"Manila (Adonidia merrillii)",Transportation,12.3,1.30,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",3.90,3.90,1.30,2.0,2.6,"5% - 10%","25% - 30%","20% - 25%","3 Sides",350,12.30,,,,,,,True,None,None,,,Unchecked,18.47525,-69.90678,(0604)
11,4,10/11/2016,Planted,11.01,275,"Manila (Adonidia merrillii)",Transportation,11.8,1.30,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",3.50,3.50,1.40,1.4,1.7,"5% - 10%","25% - 30%","20% - 25%","4 Sides",345,11.10,,,,,,,True,None,None,,,Unchecked,18.4752,-69.98633,0604
11,5,10/11/2016,Planted,6.22,300,"Manila (Adonidia merrillii)",Transportation,11.5,1.30,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",3.60,3.60,1.20,2.4,2.2,"5% - 10%","25% - 30%","20% - 25%","4 Sides",340,14.40,,,,,,,True,None,None,,,Unchecked,18.47522,-69.90628,0604
11,6,10/11/2016,Planted,4.75,322,"Manila (Adonidia merrillii)",Transportation,10.5,1.30,True,,,True,,,True,,,True,,,True,,,True,"40% - 45%",3.40,3.40,1.02,2.3,2.6,"5% - 10%","25% - 30%","20% - 25%","3 Sides",342,14.80,,,,,,,True,None,None,,,Unchecked,18.47522,-69.90626,0604
11,7,10/11/2016,Planted,7.30,250,"Christplant (Euphorbia milii)",Transportation,2.2,1.30,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",0.60,0.60,0.40,0.4,0.3,"10% - 15%",100%,0%,"2 Sides",340,14.20,,,,,,,True,None,None,,,Unchecked,18.47523,-69.90628,0604
13,1,10/6/2016,Planted,0.90,3,"Pseudophoenix spp (Pseudophoenix)",Institutional,13.9,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.50,2.50,2.00,1.5,3.2,"15% - 20%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.27713,-69.54487,"Foto 0525"
13,2,10/6/2016,Planted,3.99,145,"Pseudophoenix spp (Pseudophoenix)",Institutional,29.0,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.80,2.80,1.20,2.7,2.8,"5% - 10%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.27711,-69.54485,"Foto 0526"
13,3,10/6/2016,Planted,7.06,125,"Pseudophoenix spp (Pseudophoenix)",Institutional,27.1,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.70,2.70,1.10,2.1,1.9,"5% - 10%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.2771,-69.54487,"Foto 0527"
13,4,10/6/2016,Planted,10.25,140,"Pseudophoenix spp (Pseudophoenix)",Institutional,30.4,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.80,2.80,1.15,1.8,1.9,"10% - 15%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.27709,-69.54487,"Foto 0528"
13,5,10/6/2016,Planted,9.57,165,"Pseudophoenix spp (Pseudophoenix)",Institutional,26.0,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.90,2.90,2.00,1.9,2.0,"5% - 10%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.27711,-69.54489,"Foto 0529"
13,6,10/6/2016,Planted,6.03,169,"Pseudophoenix spp (Pseudophoenix)",Institutional,21.8,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.70,2.70,1.90,1.9,1.9,"5% - 10%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.27713,-69.54489,"Foto 0530"
13,7,10/6/2016,Planted,9.25,253,"Pseudophoenix spp (Pseudophoenix)",Institutional,28.8,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,2.40,2.40,1.50,2.1,1.9,"5% - 10%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Unchecked,18.28715,-69.5449,"Foto 0531"
14,1,10/10/2016,Planted,9.90,325,"Bauhinia (Bauhinia forficata)",Park,10.1,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",5.90,5.90,2.90,3.4,3.5,"15% - 20%","75% - 80%",0%,"4 Sides",,,,,,,,,True,,,,,Unchecked,18.4721,-69.90742,"Foto 0587"
14,2,10/10/2016,Planted,10.10,205,"Bauhinia (Bauhinia forficata)",Park,5.3,1.37,True,5.3,1.37,True,5.4,1.37,True,,,True,,,True,,,True,"95% - 99%",5.40,5.40,1.37,4.3,3.6,"10% - 15%","75% - 80%",0%,"1 Side",,,,,,,,,True,None,None,,"No lines",Unchecked,18.47198,69.90738,"Foto 0586"
18,1,10/10/2016,Planted,12.40,147,"West indian mahogany (Swietenia mahogani)",Transportation,59.3,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",7.20,7.20,5.20,8.4,6.0,"5% - 10%","5% - 10%",0%,"4 Sides",137,6.87,,,,,,,True,"Large tree (routine)",None,,"Present and conflicting",Unchecked,18.4703,-69.90748,"Foto 0569"
19,1,10/10/2016,Planted,7.50,220,"Panama tree (Sterculia apetala)",Commercial/Industrial,187.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",18.10,18.10,3.70,29.2,22.4,"20% - 25%","60% - 65%","5% - 10%","5 Sides",90,3.39,,,,,,,False,None,None,,"No lines",Checked,18.46619,-69.89827,"Foto 0557"
19,2,10/10/2016,Planted,12.95,265,"Manila (Adonidia merrillii)",Commercial/Industrial,16.2,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",8.90,8.90,4.00,3.4,2.8,"5% - 10%",0%,"15% - 20%","1 Side",60,6.38,,,,,,,False,None,None,,"No lines",Checked,18.46624,-69.8983,"Foto 0556"
19,3,10/10/2016,Planted,7.90,270,"Manila (Adonidia merrillii)",Commercial/Industrial,15.4,1.37,True,,,True,,,True,,,True,,,True,,,True,"95% - 99%",7.20,7.20,2.90,2.9,2.9,"5% - 10%",0%,"15% - 20%","1 Side",50,4.39,,,,,,,False,None,None,,"No lines",Checked,18.46623,-69.89833,"Foto 0556"
20,1,10/6/2016,Planted,13.67,15,"Mango (Mangifera indica)",Institutional,28.1,1.37,True,24.4,1.37,True,,,True,,,True,,,True,,,True,"75% - 80%",14.00,11.40,2.50,8.5,10.5,"20% - 25%",100%,0%,"3 Sides",175,0.73,,,,,,,False,"Large tree (routine)",None,,"No lines",Checked,18.46466,-69.90321,"Foto 0533"
20,2,10/6/2016,Planted,3.02,95,"Rain tree (Albizia saman)",Institutional,67.1,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,14.00,14.00,4.40,17.2,20.3,"10% - 15%","90% - 95%","5% - 10%","5 Sides",345,5.18,170,11.75,,,,,False,None,None,,"No lines",Checked,18.27867,-69.54201,"Foto 0544"
20,3,10/6/2016,Planted,10.85,195,"Mango (Mangifera indica)",Institutional,4.8,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,14.20,14.20,2.80,12.0,11.5,"5% - 10%","90% - 95%","5% - 10%","3 Sides",347,9.27,170,3.97,,,,,False,None,None,,,Checked,18.27867,-69.54198,"Foto 0545"
